,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
125,Hofn,64.25,-15.21,53.54600000000005,58,100,7.03,IS,1595094283
126,Te Anau,-45.42,167.72,32.86400000000003,90,2,0.33,NZ,1595094283
127,Bend,44.06,-121.32,74.26400000000004,23,1,2.38,US,1595094115
128,Naze,28.37,129.48,80.86999999999996,88,100,2.6,JP,1595094283
129,Sechura,-5.56,-80.82,72.51799999999999,60,69,5.14,PE,1595094283
130,Malanje,-9.54,16.34,66.03800000000004,27,0,1.88,AO,1595094283
131,Namie,37.48,141.0,69.27799999999996,98,100,0.57,JP,1595094283
132,Lompoc,34.64,-120.46,67.26199999999996,77,4,2.1,US,1595094283
133,Superior,46.72,-92.1,83.26400000000004,74,1,2.1,US,1595094283
134,Van,38.49,43.38,73.66999999999996,46,40,2.1,TR,1595094283
135,Faanui,-16.48,-151.75,75.542,84,88,10.56,PF,1595094283
136,Salta,-24.79,-65.41,77.26999999999995,31,100,1.0,AR,1595094283
137,Jalpāiguri,26.52,88.73,83.084,83,99,1.55,IN,1595094283
138,Xai-Xai,-25.05,33.64,62.708000000000006,80,0,3.19,MZ,1595094283
139,Vanimo,-2.67,141.3,78.09800000000003,82,100,1.13,PG,1595094283
140,Kaitangata,-46.28,169.85,44.27599999999999,87,4,0.89,NZ,1595094284
141,Lima,-12.04,-77.03,64.66999999999996,68,75,3.1,PE,1595094087
142,Zaysan,47.47,84.87,78.80000000000001,28,56,2.82,KZ,1595094284
143,Buraidah,26.33,43.98,104.26999999999997,15,54,4.6,SA,1595094284
144,Chulym,55.1,80.96,57.07400000000001,85,19,1.66,RU,1595094284
145,Saskylakh,71.92,114.08,44.6,76,56,5.07,RU,1595094284
146,Zheleznodorozhnyy,55.75,38.0,65.26400000000004,82,19,3.0,RU,1595094284
147,Sitka,57.05,-135.33,55.66999999999996,93,90,5.1,US,1595094284
148,Tres Arroyos,-38.37,-60.28,62.564000000000036,55,100,1.67,AR,1595094284
149,Narsaq,60.92,-46.05,68.26999999999995,28,75,1.5,GL,1595094284
150,Evensk,61.95,159.23,52.016000000000005,77,74,3.83,RU,1595094284
151,Tankāra,22.67,70.73,86.26999999999995,10,32,6.84,IN,1595094284
152,Otukpo,7.19,8.13,75.75800000000001,89,50,0.45,NG,1595094284
